source_testname,source_units,value_count
Plasma Normetanephrine,pmol/L,28
Plasma Potassium,mmol/L,131
Platelets,10^9/L,299548
PM-Scl,U/mL,31
PO2,kPa,6301
POCT Basophil,10^9/L,2
POCT Eosinophil,10^9/L,2
POCT Haemoglobin,g/L,2
POCT HCT,,2
POCT Lymphocyte,10^9/L,2
POCT MCH,pg,2
POCT MCV,fL,2
POCT Monocyte,10^9/L,2
POCT Neutrophils,10^9/L,2
POCT Platelets,10^9/L,2
POCT RBC,10^12/L,2
POCT White blood cells,10^9/L,2
Potassium,mmol/L,112462
PR3 ELISA,iu/mL,1349
Prolactin :,mIU/L,385
Prostatic Specific Antigen :,ug/L,11034
Protein C (functional),%,6
Prothrombin time,s,5309
PSA (TOTAL),ug/L,1
PT,s,53998
PTHrP,pmol/L,2
Random calcium/creatinine ratio,,7
Rapid Progressive,%,2
Rbc,10^12/L,301595
Repeat Troponin I,ng/L,8950
Ret - He,pg,3796
Reticulocytes,10^9/L,5494
Rheumatoid factor,IU/mL,150
Rheumatoid Factor,IU/mL,536
Ribosomal-P (Rib-P),U/mL,6
Salicylate,mg/L,79
SARS-CoV-2 anti Spike IgG,AU/mL,20
Selenium,umol/L,1
Serum Aluminium,umol/L,9
Serum Chromium,nmol/L,22
Serum Chromium (ug/L),ug/L,22
Serum Cobalt,nmol/L,22
Serum Cobalt (ug/L),ug/L,22
Serum creatinine,umol/L,57
Serum Creatinine   =,umol/L,39
Serum Folate,ug/L,24020
Serum Molybdenum,nmol/L,5
Serum Osmolality,mmol/kg,1089
Serum Procollagen Type 111 Amino Peptide,ug/L,3
Serum Procollagen Type 1 Amino Terminal Peptide,ug/L,113
Serum Selenium,umol/L,44
Serum Tryptase,ng/mL,45
Sex Hormone Binding Globulin,nmol/L,121
Slow Progressive,%,2
Smooth Muscle Titre,titre,107
Sodium,mmol/L,114906
Somatostatin,pmol/L,17
Sperm concentration,10^6/ml,2
Sperm Total Count,10^6/ejaculate,2
Sphingomyelinase (Niemann-Pick A & B),umol/g.h,3
Tacrolimus (FK506),ug/L,536
Testosterone,nmol/L,498
Theophylline,mg/L,48
Thermactinomyces Vulgaris,mg/L,48
Thrombin time,s,491
Thyroglobulin recovery,%,21
Thyroid Stimulating Antibody,iu/L,22
Time between collection & analysis,min,2
Timothy grass (g6),kAU/L,7
TISSUE TRANSGLUTAMINASE,U/ml,1644
Total Bilirubin,umol/L,475
Total CK,U/L,10368
Total IgE,kU/L,237
Total Motile,%,2
Total Paraprotein,g/L,2842
Total Progressive,%,2
Total protein,g/L,61182
Total Protein,g/L,127444
Tot. Bilirubin,umol/L,9195
Tot.Bilirubin,umol/L,119477
Transferrin,g/L,11692
Transferrin Saturation,%,11600
Triglyceride,mmol/L,4146
Triglycerides,mmol/L,1358
Troponin I,ng/L,24998
TSH,mU/L,41609
TSH receptor antibodies,iu/L,8
Typical forms,%,2
U Oxalate/Creatinine,umol/mmol | umol/mmol crea,3
U Oxalate excretion,umol/24h,3
Urate,umol/L,6973
Ur. Ca Excr,mmol/24h,8
Ur. Creat. Ex,mmol/24h,13
Urea,mmol/L,347833
UREA,mmol/L,31
Urine Albumin/Creatinine Ratio,mg/mmol,188
Urine Amylase,U/L,1
Urine calcium excretion,mmol/24h,1
Urine citrate:creatinine ratio,mmol/mmol,2
Urine citrate output,mmol/24hr,2
Urine Copper (24h),umol/24h,1
Urine Creatinine Excretion (acid),mmol/24h,3
Urine creatinine output,mmol/24h,5
Urine Free Cortisol Output,nmol/24h,85
Urine magnesium output,mmol/24h,4
Urine Osmolality,mmol/kg,589
Urine Oxalate Excretion,umol/24h,1
Urine Phosphate Excretion,mmol/24h,3
Urine Protein/Creatinine ratio,mg/mmol,1568
Urine Protein Excretion,g/24h,39
Urine Total Porphyrin: Creatinine ratio,nmol/mmol,1
Ur. K Excr,mmol/24h,13
Ur. Na Excr,mmol/24h,13
Ur. Phos. Ex,mmol/24h,8
Ur. Urate Exc,mmol/24h,8
Ur. Urea Exc,mmol/24h,8
Ur. Urea Excr,mmol/24h,13
Valproate,mg/L,2
Vasoactive Intestinal Peptide,pmol/L,18
Vitamin A,umol/L,38
Vitamin B1,nmol/L,1
Vitamin B12,ng/L,22475
Vitamin B12:,ng/L,103
Vitamin B2,ug/L,2
Vitamin B6,nmol/L,1
Vitamin E,umol/L,38
Vitamin K1,ug/L,1
Volume,mL,2
von-Willebrand factor activity,IU/mL,6
von-Willebrand factor antigen,IU/mL,7
von-Willebrands factor activity,IU/mL,1
Wbc,10^9/L,301593
Wheat IgE (f4),kAU/L,1
Zinc,umol/L,276
,mmol/L,31
