image,tag,package,installed_version,fix_available_at,max_severity,cve_ids
ffcloud-service,1.0.817,protobufjs,7.6.4,"7.6.5, 8.6.6",MEDIUM,CVE-2026-59877
ffcloud-service,1.0.817,qs,6.11.2,6.14.1,MEDIUM,CVE-2025-15284
ffcloud-service,1.0.817,qs,6.11.2,6.15.2,MEDIUM,CVE-2026-8723
ffcloud-service,1.0.817,tar,6.1.13,6.2.1,MEDIUM,CVE-2024-28863
ffcloud-service,1.0.817,tar,6.1.13,7.5.16,MEDIUM,CVE-2026-53655
ffcloud-service,1.0.817,tar,6.1.13,7.5.17,MEDIUM,CVE-2026-59875
ffcloud-service,1.0.817,tar,6.1.13,7.5.21,MEDIUM,GHSA-r292-9mhp-454m
ffcloud-service,1.0.817,tar,6.2.1,7.5.16,MEDIUM,CVE-2026-53655
ffcloud-service,1.0.817,tar,6.2.1,7.5.17,MEDIUM,CVE-2026-59875
ffcloud-service,1.0.817,tar,6.2.1,7.5.21,MEDIUM,GHSA-r292-9mhp-454m
ffcloud-service,1.0.817,tar,7.4.3,7.5.16,MEDIUM,CVE-2026-53655
ffcloud-service,1.0.817,tar,7.4.3,7.5.17,MEDIUM,CVE-2026-59875
ffcloud-service,1.0.817,tar,7.4.3,7.5.21,MEDIUM,GHSA-r292-9mhp-454m
ffcloud-service,1.0.817,uuid,11.1.0,"11.1.1, 12.0.1, 13.0.1",MEDIUM,CVE-2026-41907
ffcloud-service,1.0.817,yaml,2.8.0,"2.8.3, 1.10.3",MEDIUM,CVE-2026-33532
fitconnect-service,1.0.754,brace-expansion,1.1.11,"5.0.5, 3.0.2, 2.0.3, 1.1.13",MEDIUM,CVE-2026-33750
fitconnect-service,1.0.754,brace-expansion,2.0.1,"5.0.5, 3.0.2, 2.0.3, 1.1.13",MEDIUM,CVE-2026-33750
fitconnect-service,1.0.754,fast-xml-parser,5.2.5,"4.5.5, 5.5.7",MEDIUM,CVE-2026-33349
fitconnect-service,1.0.754,fast-xml-parser,5.2.5,5.7.0,MEDIUM,CVE-2026-41650
fitconnect-service,1.0.754,follow-redirects,1.15.9,1.16.0,MEDIUM,GHSA-r4q5-vmmm-2653
fitconnect-service,1.0.754,ip-address,9.0.5,10.1.1,MEDIUM,CVE-2026-42338
fitconnect-service,1.0.754,protobufjs,7.4.0,"7.5.8, 8.2.0",MEDIUM,CVE-2026-45740
fitconnect-service,1.0.754,protobufjs,7.4.0,"7.6.3, 8.6.0",MEDIUM,CVE-2026-54269
fitconnect-service,1.0.754,protobufjs,7.6.4,"7.6.5, 8.6.6",MEDIUM,CVE-2026-59877
fitconnect-service,1.0.754,qs,6.11.2,6.14.1,MEDIUM,CVE-2025-15284
fitconnect-service,1.0.754,qs,6.11.2,6.15.2,MEDIUM,CVE-2026-8723
fitconnect-service,1.0.754,tar,6.1.13,6.2.1,MEDIUM,CVE-2024-28863
fitconnect-service,1.0.754,tar,6.1.13,7.5.16,MEDIUM,CVE-2026-53655
fitconnect-service,1.0.754,tar,6.1.13,7.5.17,MEDIUM,CVE-2026-59875
fitconnect-service,1.0.754,tar,6.1.13,7.5.21,MEDIUM,GHSA-r292-9mhp-454m
fitconnect-service,1.0.754,tar,6.2.1,7.5.16,MEDIUM,CVE-2026-53655
fitconnect-service,1.0.754,tar,6.2.1,7.5.17,MEDIUM,CVE-2026-59875
fitconnect-service,1.0.754,tar,6.2.1,7.5.21,MEDIUM,GHSA-r292-9mhp-454m
fitconnect-service,1.0.754,tar,7.4.3,7.5.16,MEDIUM,CVE-2026-53655
fitconnect-service,1.0.754,tar,7.4.3,7.5.17,MEDIUM,CVE-2026-59875
fitconnect-service,1.0.754,tar,7.4.3,7.5.21,MEDIUM,GHSA-r292-9mhp-454m
fitconnect-service,1.0.754,uuid,11.1.0,"11.1.1, 12.0.1, 13.0.1",MEDIUM,CVE-2026-41907
fitconnect-service,1.0.754,uuid,3.4.0,"11.1.1, 12.0.1, 13.0.1",MEDIUM,CVE-2026-41907
fitconnect-service,1.0.754,uuid,8.3.2,"11.1.1, 12.0.1, 13.0.1",MEDIUM,CVE-2026-41907
fitconnect-service,1.0.754,yaml,2.8.0,"2.8.3, 1.10.3",MEDIUM,CVE-2026-33532
fitconnect-service,1.0.754,yauzl,3.2.0,3.2.1,MEDIUM,CVE-2026-31988
frontend,0.1.685,ajv,6.12.6,"8.18.0, 6.14.0",MEDIUM,CVE-2025-69873
frontend,0.1.685,brace-expansion,2.0.1,"5.0.5, 3.0.2, 2.0.3, 1.1.13",MEDIUM,CVE-2026-33750
frontend,0.1.685,ip-address,9.0.5,10.1.1,MEDIUM,CVE-2026-42338
frontend,0.1.685,nanoid,3.3.7,"5.0.9, 3.3.8",MEDIUM,CVE-2024-55565
frontend,0.1.685,postcss,8.4.31,8.5.10,MEDIUM,CVE-2026-41305
frontend,0.1.685,postcss,8.4.31,8.5.23,MEDIUM,CVE-2026-69153
frontend,0.1.685,postcss,8.4.49,8.5.10,MEDIUM,CVE-2026-41305
frontend,0.1.685,postcss,8.4.49,8.5.23,MEDIUM,CVE-2026-69153
frontend,0.1.685,tar,6.2.1,7.5.16,MEDIUM,CVE-2026-53655
frontend,0.1.685,tar,6.2.1,7.5.17,MEDIUM,CVE-2026-59875
frontend,0.1.685,tar,6.2.1,7.5.21,MEDIUM,GHSA-r292-9mhp-454m
frontend,0.1.685,tar,7.4.3,7.5.16,MEDIUM,CVE-2026-53655
frontend,0.1.685,tar,7.4.3,7.5.17,MEDIUM,CVE-2026-59875
frontend,0.1.685,tar,7.4.3,7.5.21,MEDIUM,GHSA-r292-9mhp-454m
frontend,0.1.685,undici,7.28.0,"6.28.0, 7.29.0, 8.9.0",MEDIUM,CVE-2026-15157;CVE-2026-16728;CVE-2026-16729
frontend,0.1.685,webpack,5.79.0,5.94.0,MEDIUM,CVE-2024-43788
scheduler-service,1.0.358,brace-expansion,1.1.11,"5.0.5, 3.0.2, 2.0.3, 1.1.13",MEDIUM,CVE-2026-33750
scheduler-service,1.0.358,brace-expansion,2.0.1,"5.0.5, 3.0.2, 2.0.3, 1.1.13",MEDIUM,CVE-2026-33750
scheduler-service,1.0.358,ip-address,9.0.5,10.1.1,MEDIUM,CVE-2026-42338
scheduler-service,1.0.358,protobufjs,7.4.0,"7.5.8, 8.2.0",MEDIUM,CVE-2026-45740
scheduler-service,1.0.358,protobufjs,7.4.0,"7.6.3, 8.6.0",MEDIUM,CVE-2026-54269
scheduler-service,1.0.358,qs,6.11.2,6.14.1,MEDIUM,CVE-2025-15284
scheduler-service,1.0.358,qs,6.11.2,6.15.2,MEDIUM,CVE-2026-8723
scheduler-service,1.0.358,tar,6.1.13,6.2.1,MEDIUM,CVE-2024-28863
scheduler-service,1.0.358,tar,6.1.13,7.5.16,MEDIUM,CVE-2026-53655
scheduler-service,1.0.358,tar,6.1.13,7.5.17,MEDIUM,CVE-2026-59875
scheduler-service,1.0.358,tar,6.1.13,7.5.21,MEDIUM,GHSA-r292-9mhp-454m
scheduler-service,1.0.358,tar,6.2.1,7.5.16,MEDIUM,CVE-2026-53655
scheduler-service,1.0.358,tar,6.2.1,7.5.17,MEDIUM,CVE-2026-59875
scheduler-service,1.0.358,tar,6.2.1,7.5.21,MEDIUM,GHSA-r292-9mhp-454m
scheduler-service,1.0.358,tar,7.4.3,7.5.16,MEDIUM,CVE-2026-53655
scheduler-service,1.0.358,tar,7.4.3,7.5.17,MEDIUM,CVE-2026-59875
scheduler-service,1.0.358,tar,7.4.3,7.5.21,MEDIUM,GHSA-r292-9mhp-454m
scheduler-service,1.0.358,uuid,11.1.0,"11.1.1, 12.0.1, 13.0.1",MEDIUM,CVE-2026-41907
scheduler-service,1.0.358,yaml,2.8.0,"2.8.3, 1.10.3",MEDIUM,CVE-2026-33532
ffcloud-cli,1.0.49,brace-expansion,1.1.11,"2.0.2, 1.1.12, 3.0.1, 4.0.1",LOW,CVE-2025-5889
ffcloud-cli,1.0.49,brace-expansion,2.0.1,"2.0.2, 1.1.12, 3.0.1, 4.0.1",LOW,CVE-2025-5889
ffcloud-cli,1.0.49,diff,5.2.0,"8.0.3, 5.2.2, 4.0.4, 3.5.1",LOW,CVE-2026-24001
ffcloud-service,1.0.817,brace-expansion,1.1.11,"2.0.2, 1.1.12, 3.0.1, 4.0.1",LOW,CVE-2025-5889
ffcloud-service,1.0.817,brace-expansion,2.0.1,"2.0.2, 1.1.12, 3.0.1, 4.0.1",LOW,CVE-2025-5889
ffcloud-service,1.0.817,diff,5.2.0,"8.0.3, 5.2.2, 4.0.4, 3.5.1",LOW,CVE-2026-24001
ffcloud-service,1.0.817,koa,2.16.1,"2.16.2, 3.0.1",LOW,CVE-2025-8129
ffcloud-service,1.0.817,qs,6.11.2,6.14.2,LOW,CVE-2026-2391
fitconnect-service,1.0.754,brace-expansion,1.1.11,"2.0.2, 1.1.12, 3.0.1, 4.0.1",LOW,CVE-2025-5889
fitconnect-service,1.0.754,brace-expansion,2.0.1,"2.0.2, 1.1.12, 3.0.1, 4.0.1",LOW,CVE-2025-5889
fitconnect-service,1.0.754,diff,5.2.0,"8.0.3, 5.2.2, 4.0.4, 3.5.1",LOW,CVE-2026-24001
fitconnect-service,1.0.754,fast-xml-parser,5.2.5,"5.3.8, 4.5.4",LOW,CVE-2026-27942
fitconnect-service,1.0.754,koa,2.16.1,"2.16.2, 3.0.1",LOW,CVE-2025-8129
fitconnect-service,1.0.754,qs,6.11.2,6.14.2,LOW,CVE-2026-2391
frontend,0.1.685,brace-expansion,2.0.1,"2.0.2, 1.1.12, 3.0.1, 4.0.1",LOW,CVE-2025-5889
frontend,0.1.685,diff,5.2.0,"8.0.3, 5.2.2, 4.0.4, 3.5.1",LOW,CVE-2026-24001
frontend,0.1.685,ip,2.0.0,"2.0.1, 1.1.9",LOW,CVE-2023-42282
frontend,0.1.685,webpack,5.79.0,5.104.0,LOW,CVE-2025-68157
frontend,0.1.685,webpack,5.79.0,5.104.1,LOW,CVE-2025-68458
scheduler-service,1.0.358,brace-expansion,1.1.11,"2.0.2, 1.1.12, 3.0.1, 4.0.1",LOW,CVE-2025-5889
scheduler-service,1.0.358,brace-expansion,2.0.1,"2.0.2, 1.1.12, 3.0.1, 4.0.1",LOW,CVE-2025-5889
scheduler-service,1.0.358,diff,5.2.0,"8.0.3, 5.2.2, 4.0.4, 3.5.1",LOW,CVE-2026-24001
scheduler-service,1.0.358,koa,2.16.1,"2.16.2, 3.0.1",LOW,CVE-2025-8129
scheduler-service,1.0.358,qs,6.11.2,6.14.2,LOW,CVE-2026-2391
