image,tag,package,installed_version,fix_available_at,max_severity,cve_ids
ffcloud-service,1.0.817,tar,6.2.1,7.5.10,HIGH,CVE-2026-29786
ffcloud-service,1.0.817,tar,6.2.1,7.5.11,HIGH,CVE-2026-31802
ffcloud-service,1.0.817,tar,6.2.1,7.5.18,HIGH,CVE-2026-59871;CVE-2026-59874
ffcloud-service,1.0.817,tar,7.4.3,7.5.3,HIGH,CVE-2026-23745
ffcloud-service,1.0.817,tar,7.4.3,7.5.4,HIGH,CVE-2026-23950
ffcloud-service,1.0.817,tar,7.4.3,7.5.7,HIGH,CVE-2026-24842
ffcloud-service,1.0.817,tar,7.4.3,7.5.8,HIGH,CVE-2026-26960
ffcloud-service,1.0.817,tar,7.4.3,7.5.10,HIGH,CVE-2026-29786
ffcloud-service,1.0.817,tar,7.4.3,7.5.11,HIGH,CVE-2026-31802
ffcloud-service,1.0.817,tar,7.4.3,7.5.18,HIGH,CVE-2026-59871;CVE-2026-59874
fitconnect-service,1.0.754,brace-expansion,1.1.11,"5.0.7, 1.1.16, 2.1.2",HIGH,CVE-2026-13149
fitconnect-service,1.0.754,brace-expansion,1.1.11,"5.0.8, 3.0.3, 2.1.3, 1.1.17",HIGH,CVE-2026-14257
fitconnect-service,1.0.754,brace-expansion,1.1.11,"1.1.18, 2.1.4, 3.0.6, 5.0.9",HIGH,CVE-2026-69152
fitconnect-service,1.0.754,brace-expansion,2.0.1,"5.0.7, 1.1.16, 2.1.2",HIGH,CVE-2026-13149
fitconnect-service,1.0.754,brace-expansion,2.0.1,"5.0.8, 3.0.3, 2.1.3, 1.1.17",HIGH,CVE-2026-14257
fitconnect-service,1.0.754,brace-expansion,2.0.1,"1.1.18, 2.1.4, 3.0.6, 5.0.9",HIGH,CVE-2026-69152
fitconnect-service,1.0.754,dset,3.1.2,3.1.4,HIGH,CVE-2024-21529
fitconnect-service,1.0.754,fast-xml-parser,5.2.5,5.3.4,HIGH,CVE-2026-25128
fitconnect-service,1.0.754,fast-xml-parser,5.2.5,"4.5.4, 5.3.6",HIGH,CVE-2026-26278
fitconnect-service,1.0.754,fast-xml-parser,5.2.5,"5.5.6, 4.5.5",HIGH,CVE-2026-33036
fitconnect-service,1.0.754,glob,10.4.5,"11.1.0, 10.5.0",HIGH,CVE-2025-64756
fitconnect-service,1.0.754,http-cache-semantics,4.1.0,4.1.1,HIGH,CVE-2022-25881
fitconnect-service,1.0.754,ip-address,9.0.5,10.3.1,HIGH,CVE-2026-69192
fitconnect-service,1.0.754,jws,3.2.2,"3.2.3, 4.0.1",HIGH,CVE-2025-65945
fitconnect-service,1.0.754,jws,4.0.0,"3.2.3, 4.0.1",HIGH,CVE-2025-65945
fitconnect-service,1.0.754,koa,2.16.1,"3.1.2, 2.16.4",HIGH,CVE-2026-27959
fitconnect-service,1.0.754,minimatch,3.1.2,"10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3",HIGH,CVE-2026-26996
fitconnect-service,1.0.754,minimatch,3.1.2,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.3",HIGH,CVE-2026-27903
fitconnect-service,1.0.754,minimatch,3.1.2,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.4",HIGH,CVE-2026-27904
fitconnect-service,1.0.754,minimatch,5.1.6,"10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3",HIGH,CVE-2026-26996
fitconnect-service,1.0.754,minimatch,5.1.6,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.3",HIGH,CVE-2026-27903
fitconnect-service,1.0.754,minimatch,5.1.6,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.4",HIGH,CVE-2026-27904
fitconnect-service,1.0.754,minimatch,9.0.4,"10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3",HIGH,CVE-2026-26996
fitconnect-service,1.0.754,minimatch,9.0.4,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.3",HIGH,CVE-2026-27903
fitconnect-service,1.0.754,minimatch,9.0.4,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.4",HIGH,CVE-2026-27904
fitconnect-service,1.0.754,minimatch,9.0.5,"10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3",HIGH,CVE-2026-26996
fitconnect-service,1.0.754,minimatch,9.0.5,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.3",HIGH,CVE-2026-27903
fitconnect-service,1.0.754,minimatch,9.0.5,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.4",HIGH,CVE-2026-27904
fitconnect-service,1.0.754,path-to-regexp,6.2.1,"1.9.0, 0.1.10, 8.0.0, 3.3.0, 6.3.0",HIGH,CVE-2024-45296
fitconnect-service,1.0.754,protobufjs,7.4.0,"7.5.6, 8.0.2",HIGH,CVE-2026-44288;CVE-2026-44289;CVE-2026-44290;CVE-2026-44291;CVE-2026-44292;CVE-2026-44293;CVE-2026-44294
fitconnect-service,1.0.754,protobufjs,7.4.0,"7.6.1, 8.4.1",HIGH,CVE-2026-48712
fitconnect-service,1.0.754,semver,5.7.1,"7.5.2, 6.3.1, 5.7.2",HIGH,CVE-2022-25883
fitconnect-service,1.0.754,sigstore,3.0.0,4.1.1,HIGH,CVE-2026-48815
fitconnect-service,1.0.754,tar,6.1.13,7.5.3,HIGH,CVE-2026-23745
fitconnect-service,1.0.754,tar,6.1.13,7.5.4,HIGH,CVE-2026-23950
fitconnect-service,1.0.754,tar,6.1.13,7.5.7,HIGH,CVE-2026-24842
fitconnect-service,1.0.754,tar,6.1.13,7.5.8,HIGH,CVE-2026-26960
fitconnect-service,1.0.754,tar,6.1.13,7.5.10,HIGH,CVE-2026-29786
fitconnect-service,1.0.754,tar,6.1.13,7.5.11,HIGH,CVE-2026-31802
fitconnect-service,1.0.754,tar,6.1.13,7.5.18,HIGH,CVE-2026-59871;CVE-2026-59874
fitconnect-service,1.0.754,tar,6.2.1,7.5.3,HIGH,CVE-2026-23745
fitconnect-service,1.0.754,tar,6.2.1,7.5.4,HIGH,CVE-2026-23950
fitconnect-service,1.0.754,tar,6.2.1,7.5.7,HIGH,CVE-2026-24842
fitconnect-service,1.0.754,tar,6.2.1,7.5.8,HIGH,CVE-2026-26960
fitconnect-service,1.0.754,tar,6.2.1,7.5.10,HIGH,CVE-2026-29786
fitconnect-service,1.0.754,tar,6.2.1,7.5.11,HIGH,CVE-2026-31802
fitconnect-service,1.0.754,tar,6.2.1,7.5.18,HIGH,CVE-2026-59871;CVE-2026-59874
fitconnect-service,1.0.754,tar,7.4.3,7.5.3,HIGH,CVE-2026-23745
fitconnect-service,1.0.754,tar,7.4.3,7.5.4,HIGH,CVE-2026-23950
fitconnect-service,1.0.754,tar,7.4.3,7.5.7,HIGH,CVE-2026-24842
fitconnect-service,1.0.754,tar,7.4.3,7.5.8,HIGH,CVE-2026-26960
fitconnect-service,1.0.754,tar,7.4.3,7.5.10,HIGH,CVE-2026-29786
fitconnect-service,1.0.754,tar,7.4.3,7.5.11,HIGH,CVE-2026-31802
fitconnect-service,1.0.754,tar,7.4.3,7.5.18,HIGH,CVE-2026-59871;CVE-2026-59874
fitconnect-service,1.0.754,thrift,0.21.0,0.23.0,HIGH,CVE-2026-41636
fitconnect-service,1.0.754,ws,5.2.4,"5.2.5, 6.2.4, 7.5.11, 8.21.0",HIGH,CVE-2026-48779
fitconnect-service,1.0.754,xlsx,0.19.3,0.20.2,HIGH,CVE-2024-22363
